TI203,PI215,PI216,PI218,MP-1101,PI255A,TI405,TI401,FT402,T_wbulb,SSC_gros
180.4359436,8.884765625,8.848632813,9.057617188,57.03327942,0.147155762,51.07421875,27.8137207,7455.925293,16.39120102,8.106005669
180.4968719,8.891601563,8.85546875,9.0703125,57.08005524,0.146972656,50.98266602,27.75268555,7077.538574,16.18297768,8.038478851
180.4054718,8.865234375,8.833007813,9.041015625,56.93972397,0.145812988,50.88500977,27.6550293,7068.478027,16.11123085,8.059226036
180.4054718,8.87109375,8.834960938,9.04296875,57.04497147,0.145874023,50.87280273,27.66723633,7400.875,15.61134338,8.077652931
180.4359436,8.879882813,8.844726563,9.056640625,56.88125229,0.147094727,51.04370117,27.78320313,7106.369629,15.99374199,8.121265411
180.4664001,8.87890625,8.845703125,9.056640625,57.0917511,0.14666748,50.96435547,27.75268555,7447.324707,15.8849678,8.085259438
180.5273438,8.8671875,8.834960938,9.055664063,57.0098877,0.146911621,50.95825195,27.71606445,7281.568359,15.87842369,8.046488762
180.5273438,8.87890625,8.848632813,9.063476563,57.22038651,0.144470215,50.72021484,27.50244141,7368.641113,15.73859882,8.021165848
180.4968719,8.862304688,8.831054688,9.041015625,57.10344315,0.144714355,50.65307617,27.48413086,7347.904297,15.70285797,8.036194801
180.4359436,8.849609375,8.8203125,9.057617188,57.0917511,0.144470215,50.64697266,27.45361328,7625.496094,15.64715195,8.044492722
180.4359436,8.875,8.83984375,9.051757813,57.12683105,0.145080566,50.68969727,27.54516602,7340.424805,15.93589592,8.068744659
180.5578156,9.791992188,9.766601563,9.9375,62.07353592,0.162658691,52.83813477,27.85644531,7615.083984,16.61540031,7.402851105
180.4968719,9.7734375,9.747070313,9.8984375,61.80456924,0.164550781,53.31420898,28.17993164,7314.186035,16.18216324,7.44519186
180.4664001,9.775390625,9.748046875,9.915039063,61.7344017,0.166137695,53.46069336,28.3203125,7303.747559,16.84175682,7.460524082
180.2226563,9.602539063,9.541015625,9.682617188,60.28430557,0.166687012,53.62548828,28.57666016,7357.865234,17.76119041,7.648089409
180.3292999,9.385742188,9.31640625,9.498046875,59.1616478,0.161865234,53.11279297,28.77807617,7113.666504,17.59055328,7.756836414
180.2683563,9.391601563,9.319335938,9.48828125,59.18503571,0.161437988,52.97851563,28.69873047,7316.271973,17.41342735,7.754276752
180.4054718,9.455078125,9.3828125,9.552734375,59.64111328,0.160217285,52.90527344,28.44848633,6990.769043,16.97749901,7.676520348
180.2835999,9.502929688,9.420898438,9.58203125,59.80483627,0.162109375,53.10058594,28.71704102,7171.772949,17.73496437,7.706091404
180.3445282,9.583984375,9.497070313,9.670898438,60.17905426,0.162475586,53.08227539,28.58886719,7414.881348,17.20180893,7.63724041
180.3140564,9.59765625,9.520507813,9.685546875,60.17905426,0.163635254,53.27758789,28.65600586,7051.619629,17.46773338,7.672337532
180.2835999,9.592773438,9.508789063,9.663085938,60.09719467,0.163574219,53.21044922,28.7109375,7269.824219,17.52130127,7.662882805
180.2835999,9.584960938,9.498046875,9.654296875,60.15566635,0.162902832,53.09448242,28.57666016,7252.592285,17.10505676,7.629431248
180.375,9.594726563,9.505859375,9.676757813,60.15566635,0.163635254,53.2409668,28.71704102,7147.477051,17.3571701,7.649393082
180.4359436,9.544921875,9.458007813,9.634765625,60.13227844,0.161254883,52.98461914,28.46069336,7353.301758,17.05675316,7.622305393
180.4664001,9.55078125,9.462890625,9.623046875,60.09719467,0.159790039,52.80151367,28.39355469,7086.157227,16.55640984,7.675435066
180.4359436,9.532226563,9.447265625,9.608398438,60.21413803,0.156921387,52.30712891,27.99072266,7443.635742,16.20155334,7.623166561
180.3140564,9.54296875,9.453125,9.607421875,60.29599762,0.156677246,52.43530273,27.97241211,7141.069336,15.67424202,7.629750252
180.4511719,9.63671875,9.547851563,9.690429688,60.61174393,0.160766602,52.71606445,28.14331055,6989.022461,16.19431496,7.554208755
180.4816437,8.859375,8.82421875,9.043945313,56.98649979,0.143798828,50.72631836,27.6550293,7136.367188,15.78239822,8.071842194
180.4816437,8.8359375,8.8046875,9.008789063,56.85786438,0.144104004,50.71411133,27.60009766,7188.349121,15.68462944,8.055727005
180.3292999,8.829101563,8.798828125,9.013671875,56.88125229,0.144897461,50.68969727,27.6550293,7092.614258,15.99298763,8.040543556
180.3445282,8.876953125,8.844726563,9.068359375,57.08005524,0.145935059,50.81787109,27.75268555,7019.521484,15.96994686,8.053770065
180.3445282,8.872070313,8.841796875,9.033203125,57.20869446,0.144714355,50.71411133,27.67944336,6977.660156,15.8740406,8.066170692
180.4968719,9.783203125,9.756835938,9.920898438,61.88642883,0.163818359,53.18603516,28.11279297,7416.527832,16.24076462,7.406810284
180.5578156,9.783203125,9.760742188,9.9140625,61.8396492,0.164367676,53.30810547,28.23486328,7471.462402,16.43624306,7.436276436
180.5578156,9.782226563,9.759765625,9.932617188,61.79287338,0.166931152,53.49121094,28.39355469,7019.521484,16.92796707,7.441949844
180.4968719,9.787109375,9.760742188,9.9296875,61.72270584,0.166259766,53.61328125,28.45458984,7108.945801,16.63595963,7.435350895
180.4664001,9.780273438,9.754882813,9.91796875,61.72270584,0.166564941,53.50341797,28.39355469,7115.811035,16.77242661,7.420806885
180.5273438,9.791992188,9.763671875,9.926757813,61.93320465,0.165222168,53.38745117,28.25927734,7210.814941,16.37664604,7.381156921
180.4664001,9.775390625,9.747070313,9.912109375,61.8396492,0.167358398,53.66821289,28.52783203,7138.932617,17.43777084,7.421975136
180.4054718,9.767578125,9.743164063,9.905273438,61.58237457,0.168518066,53.86352539,28.69873047,7132.51709,17.35894012,7.468146324
180.4054718,9.4921875,9.412109375,9.573242188,59.69958496,0.162536621,53.10668945,28.69262695,7151.318359,17.80288506,7.700687885
180.4054718,9.48046875,9.40625,9.5625,59.67619705,0.162597656,53.13110352,28.74755859,7242.486816,17.82427597,7.675475597
180.3445282,9.467773438,9.39453125,9.568359375,59.64111328,0.161437988,52.97241211,28.60717773,7193.866211,17.0898838,7.668796539
180.4664001,9.466796875,9.391601563,9.559570313,59.664505,0.160949707,53.0090332,28.63769531,7135.083984,17.48503494,7.700739861
180.4054718,9.470703125,9.392578125,9.555664063,59.74636459,0.159912109,52.87475586,28.52783203,7136.367188,17.54672813,7.69356823
180.4968719,9.463867188,9.391601563,9.576171875,59.74636459,0.160217285,52.84423828,28.515625,6982.906738,17.44612312,7.684760571
180.4054718,9.598632813,9.565429688,9.7109375,60.70529938,0.161682129,52.8137207,28.30810547,7091.753418,16.92484665,7.643760204
180.4664001,9.63671875,9.557617188,9.717773438,60.85732651,0.161254883,53.02124023,28.35693359,7179.853027,16.55856514,7.547502041
180.4359436,9.62890625,9.561523438,9.723632813,60.82224274,0.159851074,52.80151367,28.17382813,7153.452148,16.40924072,7.564570427
180.4664001,9.653320313,9.645507813,9.8125,61.24324036,0.16204834,53.0090332,28.11889648,7078.832031,16.22753334,7.47547102
180.4968719,8.848632813,8.815429688,9.034179688,56.76430893,0.148071289,51.14746094,27.68554688,6979.409668,16.09781647,8.076325417
180.2835999,8.819335938,8.79296875,9.008789063,56.6122818,0.147216797,51.04980469,27.67944336,7052.485352,16.41154289,8.124031067
180.2835999,8.840820313,8.806640625,9.047851563,56.7993927,0.148376465,51.20849609,27.77709961,6996.441406,16.22592735,8.110696793
180.2835999,8.829101563,8.793945313,8.994140625,56.64736557,0.147521973,51.06811523,27.68554688,7095.195313,16.15864563,8.137306213
180.3445282,8.813476563,8.787109375,9.001953125,56.65905762,0.146850586,50.97045898,27.60009766,7164.961426,15.94714165,8.109924316
180.3445282,8.834960938,8.802734375,9.017578125,56.85786438,0.147827148,51.01928711,27.71606445,7043.825684,16.17155838,8.105713844
180.4054718,8.830078125,8.801757813,9.014648438,56.65905762,0.147460938,51.06201172,27.66113281,7239.114746,16.42993164,8.110920906
180.4664001,9.782226563,9.758789063,9.918945313,61.9215126,0.164855957,53.3203125,28.25317383,7414.470215,16.40859222,7.402297974
180.4054718,9.720703125,9.775390625,9.873046875,61.43034744,0.165039063,53.33251953,28.44848633,7179.853027,16.56177902,7.480238914
180.375,9.65625,9.641601563,9.778320313,60.96257401,0.164978027,53.54614258,28.55834961,6917.041016,17.3053627,7.451274872
180.3140564,9.645507813,9.671875,9.8046875,60.9391861,0.166992188,53.57055664,28.80859375,7573.693848,17.73342133,7.555091381
180.2226563,9.581054688,9.4921875,9.651367188,60.07380676,0.165283203,53.35693359,28.81469727,7140.64209,17.76488495,7.630502701
180.3140564,9.58203125,9.491210938,9.649414063,59.88669586,0.165649414,53.48510742,28.96118164,7099.06543,17.79128265,7.689319134
180.2988281,9.444335938,9.3671875,9.536132813,59.41892242,0.161132813,53.00292969,28.7109375,7542.603516,17.24406052,7.761825085
180.3292999,9.427734375,9.353515625,9.537109375,59.51247787,0.160522461,52.94189453,28.63769531,7195.5625,17.40698433,7.715866566
180.207428,9.418945313,9.346679688,9.5234375,59.34875488,0.158874512,52.72827148,28.50952148,7080.556152,16.45530701,7.714568615
180.207428,9.59765625,9.549804688,9.702148438,60.40124893,0.161560059,52.96630859,28.3203125,7212.084473,16.36546707,7.58430624
180.2683563,9.604492188,9.51953125,9.677734375,60.51819229,0.159301758,52.70385742,28.19213867,7276.957031,16.23727798,7.548883915
180.3597717,9.620117188,9.530273438,9.690429688,60.60005188,0.159973145,52.72216797,28.05786133,7223.922852,16.00366592,7.533828259
180.2988281,9.692382813,9.741210938,9.818359375,61.55898666,0.161804199,52.88085938,28.03344727,7166.23877,16.11165428,7.434821129
180.3597717,9.700195313,9.744140625,9.842773438,61.53559875,0.161987305,52.96020508,27.96020508,7061.998535,16.19410133,7.450647354
180.4207001,9.694335938,9.732421875,9.83984375,61.59407043,0.162231445,53.0090332,28.125,7154.305176,16.17025566,7.437282562
180.3292999,9.702148438,9.75,9.82421875,61.46543121,0.162902832,53.11279297,28.09448242,7539.770996,16.58676147,7.451179981
180.4207001,9.69140625,9.7265625,9.8515625,61.57068253,0.163085938,53.03955078,28.18603516,7084.434082,16.34547043,7.439478874
180.3445282,9.7109375,9.759765625,9.864257813,61.45373917,0.164489746,53.16162109,28.125,7119.241211,16.16847801,7.461987019
180.375,9.7109375,9.754882813,9.85546875,61.50051498,0.162902832,53.11889648,28.10668945,7244.593262,16.20953369,7.490755081
180.4054718,9.696289063,9.735351563,9.83984375,61.51221085,0.162231445,53.13720703,28.11279297,7644.282715,16.1181221,7.459032536
180.3445282,9.701171875,9.752929688,9.852539063,61.55898666,0.163024902,53.07617188,28.0090332,7537.341797,16.35597229,7.458288193
