PI255A,MP-1101,T_wbulb,TI401,PI215,TI203,FT402,PI218,TI405,PI216,SSC_gros
0.146850586,56.65905762,15.94714165,27.60009766,8.813476563,180.3445282,7164.961426,9.001953125,50.97045898,8.787109375,8.109924316
0.147827148,56.85786438,16.17155838,27.71606445,8.834960938,180.3445282,7043.825684,9.017578125,51.01928711,8.802734375,8.105713844
0.147460938,56.65905762,16.42993164,27.66113281,8.830078125,180.4054718,7239.114746,9.014648438,51.06201172,8.801757813,8.110920906
0.164855957,61.9215126,16.40859222,28.25317383,9.782226563,180.4664001,7414.470215,9.918945313,53.3203125,9.758789063,7.402297974
0.165039063,61.43034744,16.56177902,28.44848633,9.720703125,180.4054718,7179.853027,9.873046875,53.33251953,9.775390625,7.480238914
0.164978027,60.96257401,17.3053627,28.55834961,9.65625,180.375,6917.041016,9.778320313,53.54614258,9.641601563,7.451274872
0.166992188,60.9391861,17.73342133,28.80859375,9.645507813,180.3140564,7573.693848,9.8046875,53.57055664,9.671875,7.555091381
0.165283203,60.07380676,17.76488495,28.81469727,9.581054688,180.2226563,7140.64209,9.651367188,53.35693359,9.4921875,7.630502701
0.165649414,59.88669586,17.79128265,28.96118164,9.58203125,180.3140564,7099.06543,9.649414063,53.48510742,9.491210938,7.689319134
0.161132813,59.41892242,17.24406052,28.7109375,9.444335938,180.2988281,7542.603516,9.536132813,53.00292969,9.3671875,7.761825085
0.160522461,59.51247787,17.40698433,28.63769531,9.427734375,180.3292999,7195.5625,9.537109375,52.94189453,9.353515625,7.715866566
0.158874512,59.34875488,16.45530701,28.50952148,9.418945313,180.207428,7080.556152,9.5234375,52.72827148,9.346679688,7.714568615
0.161560059,60.40124893,16.36546707,28.3203125,9.59765625,180.207428,7212.084473,9.702148438,52.96630859,9.549804688,7.58430624
0.159301758,60.51819229,16.23727798,28.19213867,9.604492188,180.2683563,7276.957031,9.677734375,52.70385742,9.51953125,7.548883915
0.159973145,60.60005188,16.00366592,28.05786133,9.620117188,180.3597717,7223.922852,9.690429688,52.72216797,9.530273438,7.533828259
0.161804199,61.55898666,16.11165428,28.03344727,9.692382813,180.2988281,7166.23877,9.818359375,52.88085938,9.741210938,7.434821129
0.161987305,61.53559875,16.19410133,27.96020508,9.700195313,180.3597717,7061.998535,9.842773438,52.96020508,9.744140625,7.450647354
0.162231445,61.59407043,16.17025566,28.125,9.694335938,180.4207001,7154.305176,9.83984375,53.0090332,9.732421875,7.437282562
0.162902832,61.46543121,16.58676147,28.09448242,9.702148438,180.3292999,7539.770996,9.82421875,53.11279297,9.75,7.451179981
0.163085938,61.57068253,16.34547043,28.18603516,9.69140625,180.4207001,7084.434082,9.8515625,53.03955078,9.7265625,7.439478874
0.164489746,61.45373917,16.16847801,28.125,9.7109375,180.3445282,7119.241211,9.864257813,53.16162109,9.759765625,7.461987019
0.162902832,61.50051498,16.20953369,28.10668945,9.7109375,180.375,7244.593262,9.85546875,53.11889648,9.754882813,7.490755081
0.162231445,61.51221085,16.1181221,28.11279297,9.696289063,180.4054718,7644.282715,9.83984375,53.13720703,9.735351563,7.459032536
0.163024902,61.55898666,16.35597229,28.0090332,9.701171875,180.3445282,7537.341797,9.852539063,53.07617188,9.752929688,7.458288193
0.164245605,61.50051498,16.47579193,28.19213867,9.709960938,180.4359436,7509.353027,9.873046875,53.19824219,9.764648438,7.494218826
0.162719727,61.46543121,16.20223999,28.17382813,9.709960938,180.375,7329.190918,9.854492188,53.08837891,9.7578125,7.460040569
0.16394043,61.52390289,16.59628296,28.29589844,9.712890625,180.4359436,7057.243652,9.869140625,53.25317383,9.76953125,7.490836143
